country_alpha,country,respno,rawidentity,dv_identity,region,age,gender,ethndom,employment,educ,poltransform,econtransform,socialtransform,colyears,colpower,colpopulation,coastal,loggdp1980,loggdp2013,conflictyears,democ2013
5,BDI,BDI0134,3,0,EA,42,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0135,5,1,EA,60,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0136,5,1,EA,22,0,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0137,5,1,EA,21,1,1,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0138,5,1,EA,18,0,1,3,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0139,3,0,EA,44,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0140,5,1,EA,31,0,1,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0141,5,1,EA,40,0,1,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0143,5,1,EA,21,1,1,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0144,5,1,EA,38,0,0,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0145,5,1,EA,29,0,1,3,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0146,5,1,EA,27,1,0,0,4,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0147,4,1,EA,37,1,1,3,5,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0149,5,1,EA,22,1,0,3,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0150,5,1,EA,37,0,0,1,4,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0151,5,1,EA,30,1,0,3,5,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0152,4,1,EA,36,0,0,3,5,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0153,5,1,EA,36,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0154,5,1,EA,40,0,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0155,4,1,EA,19,1,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0156,5,1,EA,26,0,1,2,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0157,5,1,EA,20,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0158,5,1,EA,19,1,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0159,5,1,EA,23,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0160,5,1,EA,28,0,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0161,5,1,EA,30,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0162,3,0,EA,20,1,1,0,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0163,4,1,EA,27,0,1,2,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0164,5,1,EA,32,1,1,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0165,5,1,EA,21,0,1,3,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0166,5,1,EA,52,0,1,0,3,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0167,5,1,EA,27,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0168,4,1,EA,23,0,1,0,4,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0169,5,1,EA,70,1,1,0,1,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0170,4,1,EA,49,1,1,1,2,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
5,BDI,BDI0171,5,1,EA,49,1,1,0,0,80,54,44,65,Belgium,0,0,7.03028466,8.769757198,43,0.282
